Player,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kelly Tripucka,DET,36:00,8,23,.348,0,0,,10,13,.769,5,1,6,8,0,0,2,3,26,.453,.348,.000,.565,12.8,3.4,8.8,34.0,0.0,0.0,6.5,30.5,110,116
Bill Laimbeer,DET,34:00,10,16,.625,0,0,,6,7,.857,4,9,13,0,0,2,0,2,26,.681,.625,.000,.438,10.9,32.6,20.2,0.0,0.0,3.4,0.0,20.0,150,107
John Long,DET,27:00,5,8,.625,0,0,,6,6,1.000,1,2,3,3,1,0,0,4,16,.752,.625,.000,.750,3.4,9.1,5.9,16.1,1.6,0.0,0.0,14.1,168,111
Isiah Thomas,DET,26:00,6,16,.375,0,0,,4,4,1.000,0,1,1,5,2,1,2,5,16,.450,.375,.000,.250,0.0,4.7,2.0,29.9,3.3,2.3,10.1,27.1,98,107
Cliff Levingston,DET,19:00,1,5,.200,0,0,,2,2,1.000,2,4,6,1,1,1,2,6,4,.340,.200,.000,.400,9.7,25.9,16.7,6.4,2.3,3.1,25.4,14.8,74,104
Terry Tyler,DET,23:00,5,13,.385,0,1,.000,5,7,.714,1,2,3,1,1,0,1,1,15,.466,.385,.077,.538,4.0,10.7,6.9,6.6,1.9,0.0,5.9,26.5,102,110
Walker Russell,DET,22:00,2,6,.333,0,0,,6,6,1.000,0,2,2,3,1,0,2,3,10,.579,.333,.000,1.000,0.0,11.2,4.8,17.4,2.0,0.0,18.8,17.3,110,110
Vinnie Johnson,DET,21:00,0,4,.000,0,0,,2,2,1.000,1,1,2,3,2,0,0,2,2,.205,.000,.000,.500,4.4,5.9,5.0,16.3,4.1,0.0,0.0,8.3,86,107
Ray Tolbert,DET,18:00,4,6,.667,0,0,,0,2,.000,3,2,5,1,0,2,3,5,8,.581,.667,.000,.333,15.4,13.7,14.7,8.5,0.0,6.5,30.4,19.6,87,109
Kent Benson,DET,14:00,1,3,.333,0,0,,2,2,1.000,0,3,3,1,0,1,0,2,4,.515,.333,.000,.667,0.0,26.4,11.3,8.9,0.0,4.2,0.0,9.9,127,108
