Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Adrian Dantley,41:00,13,21,.619,0,0,,14,16,.875,3,6,9,6,1,0,0,4,40,.713,.619,.000,.762,7.5,15.3,11.3,20.2,1.1,0.0,0.0,27.1,154,129
Darrell Griffith,36:00,11,22,.500,0,0,,0,0,,0,3,3,4,0,1,1,2,22,.500,.500,.000,.000,0.0,8.7,4.3,15.1,0.0,1.3,4.3,25.3,100,132
John Drew,35:00,9,18,.500,0,0,,5,6,.833,4,2,6,2,1,0,2,4,23,.557,.500,.000,.333,11.7,6.0,8.8,7.3,1.3,0.0,8.8,25.6,112,131
Rickey Green,35:00,9,12,.750,0,0,,2,3,.667,1,0,1,11,0,0,1,3,20,.751,.750,.000,.250,2.9,0.0,1.5,40.1,0.0,0.0,7.0,16.2,150,136
Mark Eaton,27:00,2,4,.500,0,0,,0,0,,0,7,7,3,0,3,0,5,4,.500,.500,.000,.000,0.0,27.1,13.4,11.5,0.0,5.2,0.0,5.9,119,123
Jeff Wilkins,21:00,5,10,.500,0,0,,1,2,.500,1,2,3,1,0,1,1,3,11,.506,.500,.000,.200,4.9,9.9,7.4,5.9,0.0,2.2,8.4,22.4,98,131
Jerry Eaves,15:00,1,5,.200,0,0,,2,3,.667,0,2,2,3,2,0,1,2,4,.316,.200,.000,.600,0.0,13.9,6.9,20.5,5.9,0.0,13.7,19.3,74,119
J.J. Anderson,11:00,0,5,.000,0,1,.000,0,0,,1,2,3,0,1,2,0,3,0,.000,.000,.200,.000,9.3,19.0,14.1,0.0,4.0,8.6,0.0,18.0,20,115
Bob Hansen,10:00,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,1,1,2,0,.000,.000,.500,.000,0.0,20.9,10.3,9.6,0.0,4.7,33.3,11.9,17,126
Tom Boswell,9:00,0,1,.000,0,0,,1,2,.500,0,1,1,1,1,0,0,2,1,.266,.000,.000,2.000,0.0,11.6,5.7,10.7,4.9,0.0,0.0,8.3,79,122
